Title,Global Version,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Genre_genre
Dinotrux: Season 2,No,2016-03-11,4100000,46265.23757763975,6.6,['Comedy'],"tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Comedy
Fear Street Part 3: 1666,Yes,2021-07-16,4100000,61618.0,6.6,"['Horror', 'Mystery']","sequel,forest,lesbianism,third part,murder",The origins of Sarah Fier&apos;s curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.,Horror
Fear Street Part 3: 1666,Yes,2021-07-16,4100000,61618.0,6.6,"['Horror', 'Mystery']","sequel,forest,lesbianism,third part,murder",The origins of Sarah Fier&apos;s curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.,Mystery
Friendzone,Yes,2021-09-29,4100000,4240.0,5.9,"['Comedy', 'Romance']","love,friend,boyfriend,male nudity,male rear nudity",Hopeful romantic Thibault believes his luck could change when sparks fly between him and Rose. But can he go from bestie to boyfriend.,Comedy
Friendzone,Yes,2021-09-29,4100000,4240.0,5.9,"['Comedy', 'Romance']","love,friend,boyfriend,male nudity,male rear nudity",Hopeful romantic Thibault believes his luck could change when sparks fly between him and Rose. But can he go from bestie to boyfriend.,Romance
Greenhouse Academy: Season 3,Yes,2019-10-25,4100000,6780.0,6.6,"['Drama', 'Family', 'Mystery']","astronaut,school","Almost a year after their astronaut mother&apos;s tragic death, brother and sister Alex and Hayley Woods start to attend an elite boarding school for future leaders, but they soon realize that that everything is not as it seems.",Drama
Greenhouse Academy: Season 3,Yes,2019-10-25,4100000,6780.0,6.6,"['Drama', 'Family', 'Mystery']","astronaut,school","Almost a year after their astronaut mother&apos;s tragic death, brother and sister Alex and Hayley Woods start to attend an elite boarding school for future leaders, but they soon realize that that everything is not as it seems.",Family
Greenhouse Academy: Season 3,Yes,2019-10-25,4100000,6780.0,6.6,"['Drama', 'Family', 'Mystery']","astronaut,school","Almost a year after their astronaut mother&apos;s tragic death, brother and sister Alex and Hayley Woods start to attend an elite boarding school for future leaders, but they soon realize that that everything is not as it seems.",Mystery
Greenleaf: Season 5,Yes,2020-08-12,4100000,46265.23757763975,6.6,['Comedy'],"tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Comedy
I Think You Should Leave with Tim Robinson: Season 1,Yes,2019-04-23,4100000,19896.0,8.0,['Comedy'],"driving,cringe comedy,surreal comedy,sketch comedy,alternative comedy",A sketch show where Tim Robinson and his guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.,Comedy
Jamtara - Sabka Number Ayega: Season 2 // जमतारा - सबका नंबर आएगा: सीज़न 2,Yes,2022-09-23,4100000,9059.0,7.3,['Crime'],"fight,organized crime","A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it.",Crime
Kipo and the Age of Wonderbeasts: Season 1,Yes,2020-01-14,4100000,6947.0,8.3,"['Animation', 'Action', 'Adventure']","gay teenager,female protagonist,gay character,gay friend,gay",A girl explores the possibilities in a post-apocalyptic world.,Animation
Kipo and the Age of Wonderbeasts: Season 1,Yes,2020-01-14,4100000,6947.0,8.3,"['Animation', 'Action', 'Adventure']","gay teenager,female protagonist,gay character,gay friend,gay",A girl explores the possibilities in a post-apocalyptic world.,Action
Kipo and the Age of Wonderbeasts: Season 1,Yes,2020-01-14,4100000,6947.0,8.3,"['Animation', 'Action', 'Adventure']","gay teenager,female protagonist,gay character,gay friend,gay",A girl explores the possibilities in a post-apocalyptic world.,Adventure
Mirage // Durante la tormenta,No,2019-03-22,4100000,62493.0,7.4,"['Drama', 'Fantasy', 'Mystery']","marriage,parallel universe,timeline change,alternate universe,alternate timeline",Two storms separated by 25 years. A woman murdered. A daughter missed. Only 72 hours to discover the truth.,Drama
