Title,Global Version,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Genre_genre
The Laundromat,Yes,2019-10-18,4000000,54118.0,6.3,"['Comedy', 'Crime', 'Drama']","insurance fraud,grieving widow,breaking the fourth wall,foreigner as villain,partners in crime","A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world&apos;s financial system.",Comedy
The Laundromat,Yes,2019-10-18,4000000,54118.0,6.3,"['Comedy', 'Crime', 'Drama']","insurance fraud,grieving widow,breaking the fourth wall,foreigner as villain,partners in crime","A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world&apos;s financial system.",Crime
The Laundromat,Yes,2019-10-18,4000000,54118.0,6.3,"['Comedy', 'Crime', 'Drama']","insurance fraud,grieving widow,breaking the fourth wall,foreigner as villain,partners in crime","A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world&apos;s financial system.",Drama
The Princess Switch: Switched Again,Yes,2020-11-19,4000000,13088.0,5.4,"['Comedy', 'Drama', 'Family']","christmas,chess,party,royalty,sequel","When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it&apos;s up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.",Comedy
The Princess Switch: Switched Again,Yes,2020-11-19,4000000,13088.0,5.4,"['Comedy', 'Drama', 'Family']","christmas,chess,party,royalty,sequel","When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it&apos;s up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.",Drama
The Princess Switch: Switched Again,Yes,2020-11-19,4000000,13088.0,5.4,"['Comedy', 'Drama', 'Family']","christmas,chess,party,royalty,sequel","When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it&apos;s up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.",Family
The Sons of Sam: A Descent into Darkness: Limited Series,Yes,2021-05-05,4000000,46265.23757763975,6.6,['Comedy'],"tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Comedy
The Who Was? Show: Season 1,Yes,2018-05-11,4000000,46265.23757763975,6.6,"['Documentary', 'Short']","tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Documentary
The Who Was? Show: Season 1,Yes,2018-05-11,4000000,46265.23757763975,6.6,"['Documentary', 'Short']","tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Short
Tiger King,Yes,2020-03-20,4000000,207.0,2.6,['Comedy'],"tiger,reference to joe exotic,parody,reference to tiger king,reference to cardi b","After narrowly escaping the contagious catastrophe of the CORONA ZOMBIES, ditsy American beauties Barbie (Cody Renee Cameron) and Kendra (Robin Sydney) battle their deadliest foe yet: social distancing boredom. Hooked on binge-wat...",Comedy
True and the Rainbow Kingdom: Mushroom Town,Yes,2019-05-03,4000000,515.0,7.1,"['Animation', 'Short', 'Adventure']","reference to halloween,mask,candy,pumpkin,trick or treat",Fearless eight-year old guardian True uses wishes from the Wishing Tree to help protect the citizens of the colorful land of the Rainbow Kingdom.,Animation
True and the Rainbow Kingdom: Mushroom Town,Yes,2019-05-03,4000000,515.0,7.1,"['Animation', 'Short', 'Adventure']","reference to halloween,mask,candy,pumpkin,trick or treat",Fearless eight-year old guardian True uses wishes from the Wishing Tree to help protect the citizens of the colorful land of the Rainbow Kingdom.,Short
True and the Rainbow Kingdom: Mushroom Town,Yes,2019-05-03,4000000,515.0,7.1,"['Animation', 'Short', 'Adventure']","reference to halloween,mask,candy,pumpkin,trick or treat",Fearless eight-year old guardian True uses wishes from the Wishing Tree to help protect the citizens of the colorful land of the Rainbow Kingdom.,Adventure
World of Winx: Season 1,Yes,2016-11-04,4000000,11869.0,8.4,['Short'],"tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Short
Baby Fever: Season 1 // Skruk: Sæson 1,Yes,2022-06-08,3900000,22.0,6.3,"['Animation', 'Short']","mother,rescue,bluebird,baby,singing",A flock of little bluebirds come to the rescue of an abandoned baby. They form a carrying-squadron and transport the babe to Happyland. But all their efforts to entertain and make the child happy are fruitless. Finally they locate...,Animation
Baby Fever: Season 1 // Skruk: Sæson 1,Yes,2022-06-08,3900000,22.0,6.3,"['Animation', 'Short']","mother,rescue,bluebird,baby,singing",A flock of little bluebirds come to the rescue of an abandoned baby. They form a carrying-squadron and transport the babe to Happyland. But all their efforts to entertain and make the child happy are fruitless. Finally they locate...,Short
Blood Sisters: Limited Series,Yes,2022-05-05,3900000,46265.23757763975,6.6,['Comedy'],"tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Comedy
Crime Scene: The Times Square Killer: Limited Series,Yes,2021-12-29,3900000,5340.0,6.5,"['Documentary', 'Crime', 'History']","prostitution,murder of a prostitute,serial killer,new york city,times square manhattan new york city","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Documentary
